game_id,title,flag,n_raters,n_raters_ge20_total,n_raters_ge20_other,penetration_ge20_total,penetration_ge20_other,penetration_ge10_total,penetration_ge10_other,total_enth_ge20,total_enth_ge10,missing_ge20_other,penetration_rank_ge20_other
16538,The Battle of Five Armies,Wargame,120,88,84,0.005075556580920521,0.004844849463605952,0.0026147304628317287,0.0025169835296417575,17338,40922,17254,0.0801980198019802
19622,A Victory Lost: Crisis in Ukraine 1942-1943,Wargame,1072,920,908,0.053062636982350905,0.0523705156304072,0.02514539856312008,0.02494990469674014,17338,40922,16430,0.9128712871287129
19854,Federation Commander: Klingon Border,Wargame,535,378,373,0.021801822586226784,0.021513438689583574,0.011607448316309076,0.011338644250036655,17338,40922,16965,0.7653465346534654
20044,The Lord of the Rings: The Mines of Moria,Wargame,153,92,84,0.005306263698235091,0.004844849463605952,0.002761350862616685,0.002688040662724207,17338,40922,17254,0.0801980198019802
20078,Monmouth,Wargame,278,260,259,0.014995962625446994,0.014938285846118353,0.006695664923513025,0.006646791456918039,17338,40922,17079,0.6618811881188119
20609,Asia Engulfed,Wargame,422,376,371,0.021686469027569502,0.021398085130926288,0.010092370851864523,0.009945750452079566,17338,40922,16967,0.7636138613861386
23828,Dixie: Gettysburg,Wargame,191,160,159,0.009228284692582767,0.009170607913254124,0.004300865060358731,0.004227554860466253,17338,40922,17179,0.4420792079207921
23915,Solitaire Caesar,Wargame,149,123,121,0.007094243857423002,0.006978890298765717,0.0033722691950540053,0.0033233957284590195,17338,40922,17217,0.2943069306930693
23950,Viktory II,Wargame,437,301,291,0.01736071057792133,0.016783942784634905,0.00901715458677484,0.008870534186989883,17338,40922,17047,0.6982673267326732
24078,Lightning: North Africa on to Tobruk!,Wargame,148,130,129,0.007497981312723497,0.007440304533394855,0.003494452861541469,0.0034700161282439764,17338,40922,17209,0.33292079207920794
